Category,Freq,Term,Total,loglift,logprob,topic_area
Topic2,30.53260968403271,riyals,31.516217450709476,2.5306,-8.2487,business
Topic2,28.603397139300707,supertankers,29.546559518837064,2.5298,-8.314,business
Topic2,28.59347822543237,noc,29.54638626176151,2.5295,-8.3143,business
Topic2,26.634144326660028,vlcc,27.577306703539225,2.5275,-8.3853,business
Topic2,26.634144325408936,abdulaziz,27.577306703533637,2.5275,-8.3853,business
Topic2,86.38783565567613,rosneft,89.63042500256904,2.5254,-7.2087,business
Topic2,24.664891496443644,midland,25.608053888203557,2.5248,-8.4621,business
Topic2,186.3879844617195,aramco,194.04237186812858,2.522,-6.4397,business
Topic2,70.7936468030665,tankers,73.87512587366217,2.5197,-7.4077,business
Topic2,20.726385880611318,loadings,21.66954825761124,2.5178,-8.6361,business
Topic2,20.72638588007774,trafigura,21.669548257614085,2.5178,-8.6361,business
Topic2,50.861554245319645,petrochina,53.19080246772544,2.5175,-7.7384,business
Topic2,18.757133065679586,osps,19.70029544230282,2.5132,-8.7359,business
Topic2,18.757133065145336,zhdannikov,19.700295442306377,2.5132,-8.7359,business
Topic2,1496.4365524537145,opec,1580.0960645349153,2.5079,-4.3567,business
Topic2,278.5659422506789,gasoline,294.50598084006845,2.5066,-6.0378,business
Topic2,70.28287712020436,refined,73.86286211433614,2.5126,-7.415,business
Topic2,85.69303411095548,novak,90.60469265164446,2.5066,-7.2167,business
Topic2,1763.7714349675825,crude,1959.8836780434021,2.4569,-4.1923,business
Topic2,1038.3994038009025,barrel,1151.4515357225848,2.4589,-4.7221,business
Topic2,103.11954414360403,rigs,109.35110145381277,2.5036,-7.0316,business
Topic2,1564.1812414319252,saudi,1793.8797723937423,2.4253,-4.3124,business
Topic2,182.0461864017355,refineries,198.10429649580846,2.4778,-6.4632,business
Topic2,1142.2654080685118,arabia,1329.76464962469,2.4103,-4.6267,business
Topic2,141.86240197558473,refining,153.61046572357736,2.4827,-6.7126,business
Topic2,178.3678833558666,cargoes,195.1144008879995,2.4725,-6.4836,business
Topic2,79.16994316808747,pdvsa,84.74481106422928,2.4942,-7.2959,business
Topic2,6064.124214157317,oil,8314.835815141148,2.2466,-2.9574,business
Topic2,519.9908059933014,brent,621.6752415710696,2.3837,-5.4137,business
Topic2,360.63213174183466,storage,422.84549681022594,2.4031,-5.7796,business
